acc,start,end,strand,chromosome,species,symbol,name,length
NP_084533.1,81665014,81669823,1,13,Mus_musculus,Lysmd3,lysM and putative peptidoglycan-binding domain-containing protein 3,4809
NP_001074645.1,81676035,81699860,-1,13,Mus_musculus,Polr3g,DNA-directed RNA polymerase III subunit RPC7,23825
NP_082648.1,81711528,81750346,1,13,Mus_musculus,Mblac2,metallo-beta-lactamase domain-containing protein 2,38818
NP_031710.1,81783340,81796697,1,13,Mus_musculus,Cetn3,centrin-3,13357
NP_001164008.1,83575676,83662631,1,13,Mus_musculus,Mef2c,myocyte-specific enhancer factor 2C isoform 1,86955
NP_780396.2,84222431,84294880,1,13,Mus_musculus,Tmem161b,transmembrane protein 161B,72449
NP_075732.1,85189535,85212778,1,13,Mus_musculus,Ccnh,cyclin-H,23243
NP_663427.2,85216103,85288907,-1,13,Mus_musculus,Rasa1,ras GTPase-activating protein 1,72804
NP_031775.1,86045752,86046675,-1,13,Mus_musculus,Cox7c,"cytochrome c oxidase subunit 7C, mitochondrial precursor",923
NP_001033076.1,88821981,89319820,1,13,Mus_musculus,Edil3,EGF-like repeat and discoidin I-like domain-containing protein 3 isoform a precursor,497839
NP_038528.3,89584721,89608149,1,13,Mus_musculus,Hapln1,hyaluronan and proteoglycan link protein 1 precursor,23428
NP_001127947.1,89657230,89731528,-1,13,Mus_musculus,Vcan,versican core protein isoform 4 precursor,74298
NP_082288.1,89849357,90071679,-1,13,Mus_musculus,Xrcc4,DNA repair protein XRCC4,222322
NP_079611.2,90089780,90104445,1,13,Mus_musculus,Tmem167,protein kish-A precursor,14665
NP_001139351.1,90883550,90905292,-1,13,Mus_musculus,Atp6ap1l,V-type proton ATPase subunit S1-like protein precursor,21742
NP_077137.1,90923195,90924683,1,13,Mus_musculus,Rps23,40S ribosomal protein S23,1488
NP_080046.3,90936602,91208422,-1,13,Mus_musculus,Atg10,ubiquitin-like-conjugating enzyme ATG10,271820
NP_077234.2,91461186,91700695,1,13,Mus_musculus,Ssbp2,single-stranded DNA-binding protein 2 isoform 2,239509
NP_083066.1,91741530,91784780,1,13,Mus_musculus,Acot12,acyl-coenzyme A thioesterase 12,43250
NP_663428.2,91797135,91806134,-1,13,Mus_musculus,Zcchc9,zinc finger CCHC domain-containing protein 9,8999
NP_940807.1,91853528,91865333,-1,13,Mus_musculus,Ckmt2,"creatine kinase S-type, mitochondrial precursor",11805
NP_033053.2,91884431,92131494,-1,13,Mus_musculus,Rasgrf2,ras-specific guanine nucleotide-releasing factor 2,247063
NP_001298049.1,92212434,92354900,-1,13,Mus_musculus,Msh3,DNA mismatch repair protein Msh3 isoform 2,142466
NP_034179.1,92355258,92384803,1,13,Mus_musculus,Dhfr,dihydrofolate reductase,29545
NP_780664.2,92438261,92439788,1,13,Mus_musculus,Ankrd34b,ankyrin repeat domain-containing protein 34B,1527
NP_001157099.1,92450083,92483952,-1,13,Mus_musculus,Fam151b,protein FAM151B,33869
NP_775568.1,92488461,92524299,-1,13,Mus_musculus,Zfyve16,zinc finger FYVE domain-containing protein 16,35838
NP_084513.3,92574829,92575966,-1,13,Mus_musculus,Spz1,spermatogenic leucine zipper protein 1,1137
NP_766176.1,92611260,92708137,1,13,Mus_musculus,Serinc5,serine incorporator 5,96877
NP_035712.1,92751750,92794673,-1,13,Mus_musculus,Thbs4,thrombospondin-4 precursor,42923
NP_001156417.1,92844786,92852894,1,13,Mus_musculus,Mtx3,metaxin-3,8108
NP_076310.2,93041313,93144506,-1,13,Mus_musculus,Cmya5,cardiomyopathy-associated protein 5,103193
NP_598666.1,93147590,93186439,-1,13,Mus_musculus,Papd4,poly(A) RNA polymerase GLD2,38849
NP_036112.1,93305297,93356113,1,13,Mus_musculus,Homer1,homer protein homolog 1 isoform S,50816
NP_067285.2,93439441,93499306,-1,13,Mus_musculus,Jmy,junction-mediating and -regulatory protein,59865
XP_889797.1,93448487,93448835,1,13,Mus_musculus,Gm6109,60S ribosomal protein L30-like,348
NP_057877.1,93617475,93637496,-1,13,Mus_musculus,Bhmt,betaine--homocysteine S-methyltransferase 1,20021
NP_075022.2,93657062,93674270,-1,13,Mus_musculus,Bhmt2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,17208
NP_083048.1,93674446,93752465,1,13,Mus_musculus,Dmgdh,"dimethylglycine dehydrogenase, mitochondrial precursor",78019
NP_033842.3,93771777,93940731,1,13,Mus_musculus,Arsb,arylsulfatase B precursor,168954
NP_766177.1,94174223,94192101,1,13,Mus_musculus,Lhfpl2,lipoma HMGIC fusion partner-like 2 protein,17878
NP_083429.1,94203998,94285276,-1,13,Mus_musculus,Scamp1,secretory carrier-associated membrane protein 1,81278
NP_033810.2,94359103,94565758,1,13,Mus_musculus,Ap3b1,AP-3 complex subunit beta-1,206655
NP_033347.1,94788949,94842730,1,13,Mus_musculus,Tbca,tubulin-specific chaperone A,53781
NP_035151.1,94875769,94883620,1,13,Mus_musculus,Otp,homeobox protein orthopedia,7851
NP_766178.2,94976538,95021825,1,13,Mus_musculus,Wdr41,WD repeat-containing protein 41,45287
NP_001164140.1,95026119,95222813,-1,13,Mus_musculus,Pde8b,"high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B isoform 1",196694
NP_082382.1,95336069,95336756,1,13,Mus_musculus,Zbed3,zinc finger BED domain-containing protein 3,687
NP_079906.2,95351501,95375058,-1,13,Mus_musculus,Aggf1,angiogenic factor with G patch and FHA domains 1,23557
NP_940800.1,95431936,95444680,-1,13,Mus_musculus,Crhbp,corticotropin-releasing factor-binding protein precursor,12744
NP_001074628.1,95477300,95478655,-1,13,Mus_musculus,S100z,protein S100-Z,1355
NP_032000.3,95513172,95525127,-1,13,Mus_musculus,F2rl1,proteinase-activated receptor 2 precursor,11955
NP_034299.2,95603732,95618374,-1,13,Mus_musculus,F2r,proteinase-activated receptor 1 precursor,14642
NP_081987.1,95628006,95891709,-1,13,Mus_musculus,Iqgap2,ras GTPase-activating-like protein IQGAP2,263703
NP_034300.3,95697063,95701558,1,13,Mus_musculus,F2rl2,proteinase-activated receptor 3 precursor,4495
NP_083486.1,95961279,96088799,-1,13,Mus_musculus,Sv2c,synaptic vesicle glycoprotein 2C,127520
NP_080449.1,96391597,96414619,1,13,Mus_musculus,Poc5,centrosomal protein POC5,23022
NP_001036179.1,96417838,96470948,-1,13,Mus_musculus,Ankdd1b,ankyrin repeat and death domain-containing protein 1B,53110
NP_036178.1,96482169,96519160,-1,13,Mus_musculus,Polk,DNA polymerase kappa,36991
NP_075909.1,96543163,96635877,1,13,Mus_musculus,Col4a3bp,collagen type IV alpha-3-binding protein isoform 1,92714
NP_032281.2,96650578,96666685,-1,13,Mus_musculus,Hmgcr,3-hydroxy-3-methylglutaryl-coenzyme A reductase,16107
XP_006517860.1,96748531,96909641,1,13,Mus_musculus,Ankrd31,putative ankyrin repeat domain-containing protein 31,161110
NP_001159537.1,96946197,96947565,1,13,Mus_musculus,Gcnt4,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",1368
NP_001271134.1,97022450,97034265,-1,13,Mus_musculus,1700029F12Rik,uncharacterized protein LOC66479 isoform 3,11815
NP_001093928.1,97091820,97127038,1,13,Mus_musculus,Fam169a,soluble lamin-associated protein of 75 kDa,35218
NP_067527.3,97131160,97137757,-1,13,Mus_musculus,Nsa2,ribosome biogenesis protein NSA2 homolog,6597
NP_796240.3,97141947,97175737,1,13,Mus_musculus,Gfm2,"ribosome-releasing factor 2, mitochondrial isoform 1",33790
NP_034552.1,97176528,97198261,-1,13,Mus_musculus,Hexb,beta-hexosaminidase subunit beta precursor,21733
NP_031956.3,97244983,97246753,1,13,Mus_musculus,Enc1,ectoderm-neural cortex protein 1,1770
NP_036156.2,97899646,98145584,-1,13,Mus_musculus,Arhgef28,rho guanine nucleotide exchange factor 28,245938
NP_849249.1,98249128,98260888,-1,13,Mus_musculus,Utp15,U3 small nucleolar RNA-associated protein 15 homolog,11760
NP_001258317.1,98266246,98272884,1,13,Mus_musculus,Ankra2,ankyrin repeat family A protein 2 isoform a,6638
XP_006517862.1,98279905,98307092,1,13,Mus_musculus,LOC102637808,low-density lipoprotein receptor class A domain-containing protein 1-like,27187
NP_001164011.1,98310154,98316298,-1,13,Mus_musculus,Btf3,transcription factor BTF3 isoform 2,6144
NP_032268.2,98354619,98355990,1,13,Mus_musculus,Foxd1,forkhead box protein D1,1371
NP_080961.1,98636407,98637320,-1,13,Mus_musculus,Tmem174,transmembrane protein 174,913
NP_001020777.1,98686320,98692640,-1,13,Mus_musculus,Tmem171,transmembrane protein 171,6320
NP_766179.2,98725753,98815108,-1,13,Mus_musculus,Fcho2,F-BAR domain only protein 2,89355
NP_001041732.1,98846455,98890781,-1,13,Mus_musculus,Tnpo1,transportin-1 isoform 2,44326
NP_081340.1,98984144,98984516,-1,13,Mus_musculus,1700024P04Rik,histone H2B subacrosomal variant,372
XP_017171186.1,98988927,98990880,-1,13,Mus_musculus,Gm41035,uncharacterized protein Gm41035,1953
NP_001004149.1,99228332,99246571,1,13,Mus_musculus,Zfp366,zinc finger protein 366,18239
NP_081149.1,99320168,99344669,-1,13,Mus_musculus,Ptcd2,"pentatricopeptide repeat-containing protein 2, mitochondrial",24501
NP_776118.2,99344802,99414978,1,13,Mus_musculus,Mrps27,"28S ribosomal protein S27, mitochondrial",70176
NP_032660.2,99425805,99516487,-1,13,Mus_musculus,Map1b,microtubule-associated protein 1B,90682
NP_001074962.1,99898918,99900634,-1,13,Mus_musculus,Cartpt,cocaine- and amphetamine-regulated transcript protein isoform 2 preproprotein,1716
NP_084302.1,99948838,100015514,-1,13,Mus_musculus,Mccc2,"methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",66676
NP_001074530.1,100020278,100103838,-1,13,Mus_musculus,Bdp1,transcription factor TFIIIB component B'' homolog,83560
NP_035483.1,100108222,100114037,1,13,Mus_musculus,Serf1,small EDRK-rich factor 1,5815
NP_035550.1,100124893,100135736,1,13,Mus_musculus,Smn1,survival motor neuron protein isoform 1,10843
NP_035002.2,100144358,100189398,-1,13,Mus_musculus,Naip2,baculoviral IAP repeat-containing protein 1b,45040
NP_035000.2,100212606,100246199,-1,13,Mus_musculus,Naip5,baculoviral IAP repeat-containing protein 1e,33593
NP_035001.2,100283548,100316551,-1,13,Mus_musculus,Naip6,baculoviral IAP repeat-containing protein 1f,33003
NP_032696.2,100408806,100444737,-1,13,Mus_musculus,Naip1,baculoviral IAP repeat-containing protein 1a,35931
NP_071294.3,100468906,100490131,-1,13,Mus_musculus,Gtf2h2,general transcription factor IIH subunit 2,21225
NP_032782.1,100498813,100541117,-1,13,Mus_musculus,Ocln,occludin,42304
NP_001033691.1,100597288,100612569,-1,13,Mus_musculus,Marveld2,MARVEL domain-containing protein 2 isoform 1,15281
NP_001269940.1,100617643,100633910,-1,13,Mus_musculus,Rad17,cell cycle checkpoint protein RAD17 isoform 2,16267
NP_081868.1,100651417,100666019,1,13,Mus_musculus,Ak6,adenylate kinase isoenzyme 6,14602
NP_001161858.1,100677913,100696118,1,13,Mus_musculus,Ccdc125,coiled-coil domain-containing protein 125 isoform B,18205
NP_034004.2,100703477,100730839,-1,13,Mus_musculus,Cdk7,cyclin-dependent kinase 7,27362
NP_001177193.1,100736255,100744568,-1,13,Mus_musculus,Mrps36,"28S ribosomal protein S36, mitochondrial isoform 2",8313
NP_068686.1,100760101,100775802,-1,13,Mus_musculus,Cenph,centromere protein H,15701
NP_758505.2,100779677,100786402,-1,13,Mus_musculus,Ccnb1,G2/mitotic-specific cyclin-B1,6725
NP_075023.2,100803290,100833177,-1,13,Mus_musculus,Slc30a5,zinc transporter 5,29887
NP_001020126.1,101684879,101692288,-1,13,Mus_musculus,Pik3r1,phosphatidylinositol 3-kinase regulatory subunit alpha isoform 1,7409
NP_032559.2,102693699,102706433,1,13,Mus_musculus,Cd180,CD180 antigen precursor,12734
NP_780380.2,102735001,103334192,-1,13,Mus_musculus,Mast4,microtubule-associated serine/threonine-protein kinase 4,599191
NP_766180.1,103743563,103763953,-1,13,Mus_musculus,Srek1,splicing regulatory glutamine/lysine-rich protein 1,20390
NP_001276403.1,103820698,103886329,-1,13,Mus_musculus,Erbb2ip,protein LAP2 isoform 4,65631
XP_006517866.1,103920289,103921822,1,13,Mus_musculus,D130037M23Rik,translation initiation factor IF-2,1533
NP_083723.1,104024945,104109456,-1,13,Mus_musculus,Nln,"neurolysin, mitochondrial precursor",84511
NP_659087.1,104111089,104139851,1,13,Mus_musculus,Sgtb,small glutamine-rich tetratricopeptide repeat-containing protein beta,28762
NP_001087229.1,104144137,104178159,-1,13,Mus_musculus,Trappc13,trafficking protein particle complex subunit 13 isoform 3,34022
NP_109656.1,104181052,104201410,1,13,Mus_musculus,Trim23,E3 ubiquitin-protein ligase TRIM23,20358
NP_766395.2,104205503,104228801,-1,13,Mus_musculus,Ppwd1,peptidylprolyl isomerase domain and WD repeat-containing protein 1,23298
NP_068562.1,104229585,104249519,1,13,Mus_musculus,Cenpk,centromere protein K isoform 1,19934
NP_001074489.1,104294727,104493704,1,13,Mus_musculus,Adamts6,A disintegrin and metalloproteinase with thrombospondin motifs 6 precursor,198977
NP_080348.1,104631575,104816728,-1,13,Mus_musculus,Cwc27,peptidyl-prolyl cis-trans isomerase CWC27 homolog,185153
NP_080351.2,104817353,104837548,1,13,Mus_musculus,Srek1ip1,protein SREK1IP1,20195
NP_084260.1,104845935,104863713,-1,13,Mus_musculus,Fam159b,membrane protein FAM159B,17778
NP_084155.2,104951490,105054214,-1,13,Mus_musculus,Rgs7bp,regulator of G-protein signaling 7-binding protein,102724
NP_080027.1,105082159,105121421,1,13,Mus_musculus,4933425L06Rik,uncharacterized protein LOC66763,39262
NP_082210.1,105149351,105271039,-1,13,Mus_musculus,Rnf180,E3 ubiquitin-protein ligase RNF180,121688
NP_032334.2,105444253,105445519,1,13,Mus_musculus,Htr1a,5-hydroxytryptamine receptor 1A,1266
XP_017171187.1,106737946,106760764,-1,13,Mus_musculus,Gm30411,uncharacterized protein Gm30411,22818
NP_083941.2,106795630,106925150,-1,13,Mus_musculus,Ipo11,importin-11,129520
NP_079723.1,106947204,106958697,1,13,Mus_musculus,Dimt1,probable dimethyladenosine transferase,11493
NP_032468.2,106962138,106993925,-1,13,Mus_musculus,Kif2a,kinesin-like protein KIF2A isoform 1,31787
NP_663431.2,107726434,107890049,-1,13,Mus_musculus,Zswim6,zinc finger SWIM domain-containing protein 6,163615
NP_001041715.1,108047461,108047686,1,13,Mus_musculus,Smim15,small integral membrane protein 15,225
NP_001120818.1,108052705,108158569,-1,13,Mus_musculus,Ndufaf2,"mimitin, mitochondrial",105864
NP_082318.2,108158793,108194124,1,13,Mus_musculus,Ercc8,DNA excision repair protein ERCC-8,35331
NP_083277.3,108256734,108282681,1,13,Mus_musculus,Elovl7,elongation of very long chain fatty acids protein 7,25947
NP_848798.1,108316421,108388702,1,13,Mus_musculus,Depdc1b,DEP domain-containing protein 1B,72281
NP_035186.1,108860165,109951344,1,13,Mus_musculus,Pde4d,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",1091179
NP_076341.1,110061814,110280018,-1,13,Mus_musculus,Rab3c,ras-related protein Rab-3C,218204
NP_808381.1,110353653,110354127,-1,13,Mus_musculus,Gapt,protein GAPT,474
NP_690017.2,110395176,110400224,1,13,Mus_musculus,Plk2,serine/threonine-protein kinase PLK2,5048
NP_780706.1,111255132,111256263,1,13,Mus_musculus,Actbl2,beta-actin-like protein 2,1131
NP_001116435.1,111426492,111466913,-1,13,Mus_musculus,Gpbp1,vasculin isoform 1,40421
NP_766181.2,111686345,111715141,1,13,Mus_musculus,Mier3,mesoderm induction early response protein 3,28796
NP_036075.2,111748899,111808969,-1,13,Mus_musculus,Map3k1,mitogen-activated protein kinase kinase kinase 1,60070
NP_001161877.1,112288927,112344228,1,13,Mus_musculus,Ankrd55,ankyrin repeat domain-containing protein 55 isoform 4,55301
NP_034690.3,112475045,112504445,1,13,Mus_musculus,Il6st,interleukin-6 receptor subunit beta precursor,29400
NP_647460.2,112523902,112559202,-1,13,Mus_musculus,Il31ra,interleukin-31 receptor subunit alpha precursor,35300
NP_034159.1,112598944,112651403,-1,13,Mus_musculus,Ddx4,probable ATP-dependent RNA helicase DDX4 isoform 2,52459
NP_848861.1,112669621,112731664,1,13,Mus_musculus,Slc38a9,sodium-coupled neutral amino acid transporter 9,62043
NP_032273.1,112801208,112867568,1,13,Mus_musculus,Plpp1,phospholipid phosphatase 1 isoform 1,66360
NP_082427.1,112867942,112927357,-1,13,Mus_musculus,Skiv2l2,superkiller viralicidic activity 2-like 2,59415
NP_766182.2,112927792,112969187,1,13,Mus_musculus,Dhx29,ATP-dependent RNA helicase Dhx29,41395
NP_001074531.1,112987897,112990057,1,13,Mus_musculus,Ccno,cyclin-O,2160
NP_001033003.1,112993871,112999184,1,13,Mus_musculus,Mcidas,multicilin,5313
NP_001268416.1,113035378,113091135,1,13,Mus_musculus,Cdc20b,cell division cycle protein 20 homolog B,55757
NP_081403.1,113043135,113046375,-1,13,Mus_musculus,Gpx8,probable glutathione peroxidase 8,3240
NP_034500.1,113093891,113100951,-1,13,Mus_musculus,Gzma,granzyme A precursor,7060
NP_032222.1,113171873,113180897,-1,13,Mus_musculus,Gzmk,granzyme K precursor,9024
NP_076101.1,113209842,113216740,1,13,Mus_musculus,Esm1,endothelial cell-specific molecule 1 precursor,6898
NP_570614.2,113594608,113618395,-1,13,Mus_musculus,Snx18,sorting nexin-18,23787
NP_064344.1,113663027,113663492,-1,13,Mus_musculus,Hspb3,heat shock protein beta-3,465
NP_766183.1,113794648,114154856,1,13,Mus_musculus,Arl15,ADP-ribosylation factor-like protein 15,360208
NP_035017.2,114288762,114388056,-1,13,Mus_musculus,Ndufs4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",99294
NP_032072.1,114453422,114458586,-1,13,Mus_musculus,Fst,follistatin isoform 2 precursor,5164
NP_038854.2,114818305,114820928,1,13,Mus_musculus,Mocs2,molybdopterin synthase sulfur carrier subunit isoform Mocs2A,2623
NP_032422.2,114836484,114931933,-1,13,Mus_musculus,Itga2,integrin alpha-2 precursor,95449
NP_001028400.2,114960089,115101531,-1,13,Mus_musculus,Itga1,integrin alpha-1 precursor,141442
NP_067434.3,116299479,116309422,-1,13,Mus_musculus,Isl1,insulin gene enhancer protein ISL-1,9943
NP_001074478.1,116855189,117025470,-1,13,Mus_musculus,Parp8,poly [ADP-ribose] polymerase 8,170281
NP_034460.3,117220848,117273062,1,13,Mus_musculus,Emb,embigin precursor,52214
NP_034538.2,117602703,117976234,1,13,Mus_musculus,Hcn1,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,373531
NP_067531.1,118380352,118387234,-1,13,Mus_musculus,Mrps30,"28S ribosomal protein S30, mitochondrial",6882
NP_032028.1,118715383,118789316,1,13,Mus_musculus,Fgf10,fibroblast growth factor 10 precursor,73933
NP_001295435.1,119336256,119404702,-1,13,Mus_musculus,Nnt,"NAD(P) transhydrogenase, mitochondrial isoform 2",68446
NP_663432.1,119429132,119457081,1,13,Mus_musculus,Paip1,polyadenylate-binding protein-interacting protein 1 isoform 1,27949
NP_080403.4,119466103,119485917,1,13,Mus_musculus,4833420G17Rik,uncharacterized protein C5orf34 homolog,19814
NP_001171137.1,119492634,119495470,1,13,Mus_musculus,Gm7120,transmembrane protein C5orf28 homolog precursor,2836
NP_064675.1,119623872,119651066,1,13,Mus_musculus,Ccl28,C-C motif chemokine 28 precursor,27194
NP_666054.2,119699673,119706478,1,13,Mus_musculus,Hmgcs1,"hydroxymethylglutaryl-CoA synthase, cytoplasmic",6805
NP_780747.1,119712045,119727871,-1,13,Mus_musculus,Nim1k,serine/threonine-protein kinase NIM1,15826
NP_082521.1,119766351,119790272,-1,13,Mus_musculus,Zfp131,zinc finger protein 131 isoform 2,23921
XP_017171146.1,119790270,119791542,1,13,Mus_musculus,LOC108168049,translation initiation factor IF-2-like,1272
NP_001001449.1,119828166,119828658,-1,13,Mus_musculus,AF067063,uncharacterized protein LOC380878,492
NP_061226.1,119893578,119894094,-1,13,Mus_musculus,Tcstv1,"2-cell-stage, variable group, member 1",516
NP_001297561.1,119912236,119912752,-1,13,Mus_musculus,LOC106029237,"2-cell-stage, variable group-like",516
NP_001028941.1,119949546,119950068,-1,13,Mus_musculus,B020031M17Rik,uncharacterized protein LOC333467,522
XP_011243021.1,119968136,119968666,1,13,Mus_musculus,Gm41080,LOW QUALITY PROTEIN: annexin-2 receptor,530
XP_006517870.1,120026438,120027011,-1,13,Mus_musculus,Gm36079,annexin-2 receptor-like,573
NP_001289895.1,120034758,120035331,-1,13,Mus_musculus,Gm21188,"predicted gene, 21188",573
NP_001034737.2,120154626,120155136,1,13,Mus_musculus,Gm20767,"2-cell-stage, variable group, member 1-like",510
XP_011243019.1,120173183,120173696,1,13,Mus_musculus,Gm21818,uncharacterized protein Gm21818,513
NP_951015.1,120263801,120264317,1,13,Mus_musculus,AF067061,uncharacterized protein LOC236546,516
NP_001033014.1,120308145,120308649,1,13,Mus_musculus,BC147527,"2-cell-stage, variable group, member 3-like",504
NP_705743.1,120317566,120318076,1,13,Mus_musculus,Tcstv3,"2-cell-stage, variable group, member 3",510
NP_443141.3,140307,182323,1,5,Homo_sapiens,PLEKHG4B,pleckstrin homology domain-containing family G member 4B,42016
NP_001073947.1,191538,195353,1,5,Homo_sapiens,LRRC14B,leucine-rich repeat-containing protein 14B,3815
NP_660308.1,205296,216849,-1,5,Homo_sapiens,CCDC127,coiled-coil domain-containing protein 127,11553
NP_004159.2,218355,256420,1,5,Homo_sapiens,SDHA,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial isoform 1",38065
NP_001254488.1,271720,314418,1,5,Homo_sapiens,PDCD6,programmed cell death protein 6 isoform 5,42698
NP_009208.2,446205,466898,1,5,Homo_sapiens,EXOC3,exocyst complex component 3,20693
NP_001271280.1,473378,524322,-1,5,Homo_sapiens,SLC9A3,sodium/hydrogen exchanger 3 isoform 2,50944
NP_060610.2,612361,653153,1,5,Homo_sapiens,CEP72,centrosomal protein of 72 kDa,40792
NP_008961.1,665101,678060,-1,5,Homo_sapiens,TPPP,tubulin polymerization-promoting protein,12959
NP_079062.1,801106,850602,-1,5,Homo_sapiens,ZDHHC11,probable palmitoyltransferase ZDHHC11,49496
NP_001304880.1,864467,889699,-1,5,Homo_sapiens,BRD9,bromodomain-containing protein 9 isoform 3,25232
NP_001159732.1,892998,908465,1,5,Homo_sapiens,TRIP13,pachytene checkpoint protein 2 homolog isoform 2,15467
NP_001258011.1,1009057,1037668,1,5,Homo_sapiens,NKD2,protein naked cuticle homolog 2 isoform 2,28611
NP_006589.2,1052359,1111991,-1,5,Homo_sapiens,SLC12A7,solute carrier family 12 member 7,59632
NP_001003841.1,1201650,1221904,1,5,Homo_sapiens,SLC6A19,sodium-dependent neutral amino acid transporter B(0)AT1,20254
NP_872438.2,1225477,1246078,1,5,Homo_sapiens,SLC6A18,sodium-dependent neutral amino acid transporter B(0)AT3,20601
NP_001180305.1,1253727,1294989,-1,5,Homo_sapiens,TERT,telomerase reverse transcriptase isoform 2,41262
NP_110409.2,1318368,1344841,-1,5,Homo_sapiens,CLPTM1L,cleft lip and palate transmembrane protein 1-like protein,26473
NP_001035.1,1394734,1443197,-1,5,Homo_sapiens,SLC6A3,sodium-dependent dopamine transporter,48463
NP_079106.3,1463650,1523844,-1,5,Homo_sapiens,LPCAT1,lysophosphatidylcholine acyltransferase 1,60194
NP_115868.1,1798623,1798935,-1,5,Homo_sapiens,MRPL36,"39S ribosomal protein L36, mitochondrial",312
NP_004544.1,1801417,1815916,1,5,Homo_sapiens,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial precursor",14499
NP_001265561.1,1877968,1882647,-1,5,Homo_sapiens,IRX4,iroquois-class homeodomain protein IRX-4 isoform b,4679
NP_001127694.1,2747563,2751413,-1,5,Homo_sapiens,IRX2,iroquois-class homeodomain protein IRX-2,3850
NP_001293078.1,2752264,2753359,1,5,Homo_sapiens,C5orf38,protein CEI isoform 3 precursor,1095
NP_077313.3,3596105,3601040,1,5,Homo_sapiens,IRX1,iroquois-class homeodomain protein IRX-1,4935
NP_620687.2,5140467,5319138,1,5,Homo_sapiens,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16 preproprotein,178671
NP_056140.1,5422915,5489330,1,5,Homo_sapiens,ICE1,little elongation complex subunit 1,66415
NP_115662.2,6372502,6378483,-1,5,Homo_sapiens,MED10,mediator of RNA polymerase II transcription subunit 10,5981
NP_001138633.1,6448893,6491349,1,5,Homo_sapiens,UBE2QL1,ubiquitin-conjugating enzyme E2Q-like protein 1,42456
NP_001180384.1,6599925,6632979,-1,5,Homo_sapiens,NSUN2,tRNA (cytosine(34)-C(5))-methyltransferase isoform 2,33054
NP_001311251.1,6633550,6668268,1,5,Homo_sapiens,SRD5A1,3-oxo-5-alpha-steroid 4-dehydrogenase 1 isoform 2,34718
NP_008930.1,6737543,6754945,1,5,Homo_sapiens,PAPD7,non-canonical poly(A) RNA polymerase PAPD7 isoform 1,17402
NP_065433.2,7396296,7826871,1,5,Homo_sapiens,ADCY2,adenylate cyclase type 2,430575
NP_001083053.1,7831849,7851021,-1,5,Homo_sapiens,C5orf49,uncharacterized protein C5orf49,19172
NP_076996.2,7859434,7868083,-1,5,Homo_sapiens,FASTKD3,FAST kinase domain-containing protein 3,8649
NP_076915.2,7869133,7900058,1,5,Homo_sapiens,MTRR,methionine synthase reductase isoform 2,30925
NP_003957.2,9042896,9379946,-1,5,Homo_sapiens,SEMA5A,semaphorin-5A precursor,337050
NP_062545.1,9629132,9630032,-1,5,Homo_sapiens,TAS2R1,taste receptor type 2 member 1,900
NP_001245317.1,10227440,10249873,-1,5,Homo_sapiens,FAM173B,protein FAM173B isoform 2,22433
NP_001293082.1,10250003,10264783,1,5,Homo_sapiens,CCT5,T-complex protein 1 subunit epsilon isoform b,14780
NP_620164.1,10280452,10290762,-1,5,Homo_sapiens,CMBL,carboxymethylenebutenolidase homolog,10310
NP_005876.2,10353898,10433684,1,5,Homo_sapiens,MARCH6,E3 ubiquitin-protein ligase MARCH6 isoform 1,79786
NP_114122.2,10442167,10464947,1,5,Homo_sapiens,ROPN1L,ropporin-1-like protein,22780
NP_001157912.1,10564467,10650113,1,5,Homo_sapiens,ANKRD33B,ankyrin repeat domain-containing protein 33B,85646
NP_001278892.1,10680706,10761068,-1,5,Homo_sapiens,DAP,death-associated protein 1 isoform 1,80362
NP_001275646.1,10973452,11364768,-1,5,Homo_sapiens,CTNND2,catenin delta-2 isoform 4,391316
NP_001360.1,13691983,13944438,-1,5,Homo_sapiens,DNAH5,"dynein heavy chain 5, axonemal",252455
NP_009049.2,14143725,14508422,1,5,Homo_sapiens,TRIO,triple functional domain protein,364697
NP_061891.1,14581894,14610314,1,5,Homo_sapiens,FAM105A,inactive ubiquitin thioesterase FAM105A,28420
NP_612357.4,14664825,14693048,1,5,Homo_sapiens,OTULIN,ubiquitin thioesterase otulin,28223
NP_473368.1,14711196,14871447,-1,5,Homo_sapiens,ANKH,progressive ankylosis protein homolog,160251
NP_036436.1,15500676,15937186,1,5,Homo_sapiens,FBXL7,F-box/LRR-repeat protein 7 isoform 1,436510
NP_001096032.1,16067470,16179575,-1,5,Homo_sapiens,MARCH11,E3 ubiquitin-protein ligase MARCH11,112105
NP_219482.1,16451656,16465665,-1,5,Homo_sapiens,ZNF622,zinc finger protein 622,14009
NP_061873.2,16474740,16508612,-1,5,Homo_sapiens,FAM134B,reticulophagy receptor FAM134B isoform 2,33872
