acc,species,chromosome,symbol,start,end,length,strand
NP_057363.3,Homo_sapiens,5,CDH9,26881135,26988333,107198,-1
NP_004923.1,Homo_sapiens,5,CDH6,31267473,31323308,55835,1
NP_001093882.1,Homo_sapiens,5,DROSHA,31401431,31529059,127628,-1
NP_037367.3,Homo_sapiens,5,DROSHA,31401431,31529059,127628,-1
NP_060826.2,Homo_sapiens,5,C5orf22,31532392,31552902,20510,1
NP_835260.2,Homo_sapiens,5,PDZD2,31799248,32108135,308887,1
NP_071413.1,Homo_sapiens,5,GOLPH3,32126211,32174034,47823,-1
NP_001281273.1,Homo_sapiens,5,MTMR12,32229777,32312838,83061,-1
NP_001281272.1,Homo_sapiens,5,MTMR12,32229777,32312838,83061,-1
NP_001035536.1,Homo_sapiens,5,MTMR12,32229777,32312838,83061,-1
NP_057191.2,Homo_sapiens,5,ZFR,32355759,32444658,88899,-1
NP_006704.3,Homo_sapiens,5,SUB1,32588512,32601084,12572,1
NP_001191305.1,Homo_sapiens,5,NPR3,32710662,32786345,75683,1
NP_001191304.1,Homo_sapiens,5,NPR3,32711776,32786345,74569,1
NP_000899.1,Homo_sapiens,5,NPR3,32711776,32786345,74569,1
NP_001245367.1,Homo_sapiens,5,TARS,33441086,33467708,26622,1
NP_689508.3,Homo_sapiens,5,TARS,33441086,33467708,26622,1
NP_001245366.1,Homo_sapiens,5,TARS,33441086,33467708,26622,1
NP_112217.2,Homo_sapiens,5,ADAMTS12,33527187,33891856,364669,-1
NP_057652.1,Homo_sapiens,5,RXFP3,33936740,33938150,1410,1
NP_057264.3,Homo_sapiens,5,SLC45A2,33944647,33984583,39936,-1
NP_001012527.1,Homo_sapiens,5,SLC45A2,33947147,33984583,37436,-1
NP_001284346.2,Homo_sapiens,5,SLC45A2,33951651,33984583,32932,-1
NP_001161067.1,Homo_sapiens,5,AMACR,33988307,34008019,19712,-1
NP_055139.4,Homo_sapiens,5,AMACR,33989092,34008019,18927,-1
NP_976316.1,Homo_sapiens,5,AMACR,33989483,34008019,18536,-1
NP_112207.1,Homo_sapiens,5,C1QTNF3,34020582,34043125,22543,-1
NP_852100.3,Homo_sapiens,5,C1QTNF3,34020582,34043125,22543,-1
NP_056392.2,Homo_sapiens,5,RAI14,34686919,34830765,143846,1
NP_001138992.1,Homo_sapiens,5,RAI14,34686919,34830765,143846,1
NP_001138993.1,Homo_sapiens,5,RAI14,34686919,34830765,143846,1
NP_001138994.1,Homo_sapiens,5,RAI14,34686919,34830765,143846,1
NP_001138995.1,Homo_sapiens,5,RAI14,34687710,34830765,143055,1
NP_001138997.1,Homo_sapiens,5,RAI14,34688203,34830765,142562,1
NP_001304878.1,Homo_sapiens,5,TTC23L,34839634,34896778,57144,1
NP_653326.3,Homo_sapiens,5,TTC23L,34840671,34896778,56107,1
NP_002844.1,Homo_sapiens,5,RAD1,34908764,34914892,6128,-1
NP_060791.3,Homo_sapiens,5,BRIX1,34915738,34925495,9757,1
NP_919259.3,Homo_sapiens,5,DNAJC21,34929819,34954714,24895,1
NP_001012339.2,Homo_sapiens,5,DNAJC21,34929819,34954714,24895,1
NP_001293102.1,Homo_sapiens,5,AGXT2,34998718,35047892,49174,-1
NP_114106.1,Homo_sapiens,5,AGXT2,34998718,35047892,49174,-1
NP_001191247.1,Homo_sapiens,5,PRLR,35049286,35089620,40334,-1
NP_001191245.1,Homo_sapiens,5,PRLR,35049286,35089620,40334,-1
NP_001191246.1,Homo_sapiens,5,PRLR,35049396,35089620,40224,-1
NP_001191243.1,Homo_sapiens,5,PRLR,35065088,35089620,24532,-1
NP_000940.1,Homo_sapiens,5,PRLR,35065088,35089620,24532,-1
NP_001191244.1,Homo_sapiens,5,PRLR,35065335,35089620,24285,-1
NP_079143.3,Homo_sapiens,5,SPEF2,35617997,35814553,196556,1
NP_653323.1,Homo_sapiens,5,SPEF2,35617997,35670248,52251,1
NP_002176.2,Homo_sapiens,5,IL7R,35856977,35876486,19509,1
NP_001036090.1,Homo_sapiens,5,CAPSL,35904544,35921120,16576,-1
NP_653248.3,Homo_sapiens,5,CAPSL,35904544,35921120,16576,-1
NP_689617.3,Homo_sapiens,5,UGT3A1,35954201,35991240,37039,-1
NP_001165344.1,Homo_sapiens,5,UGT3A1,35962873,35988483,25610,-1
NP_001161788.1,Homo_sapiens,5,UGT3A2,36035697,36066789,31092,-1
NP_777574.2,Homo_sapiens,5,UGT3A2,36035697,36066789,31092,-1
NP_001007528.1,Homo_sapiens,5,LMBRD2,36104045,36143349,39304,-1
NP_116026.1,Homo_sapiens,5,SKP2,36152262,36184011,31749,1
NP_005974.2,Homo_sapiens,5,SKP2,36152262,36182031,29769,1
NP_001230049.1,Homo_sapiens,5,SKP2,36166633,36182031,15398,1
NP_001078880.1,Homo_sapiens,5,NADK2,36195143,36241798,46655,-1
NP_694558.1,Homo_sapiens,5,NADK2,36195143,36225612,30469,-1
NP_001274269.1,Homo_sapiens,5,NADK2,36195143,36225612,30469,-1
NP_001274270.1,Homo_sapiens,5,NADK2,36195143,36225612,30469,-1
NP_001310202.1,Homo_sapiens,5,RANBP3L,36248640,36301416,52776,-1
NP_001310207.1,Homo_sapiens,5,RANBP3L,36249653,36301416,51763,-1
NP_001310204.1,Homo_sapiens,5,RANBP3L,36249653,36301416,51763,-1
NP_001310208.1,Homo_sapiens,5,RANBP3L,36249653,36301416,51763,-1
NP_659437.3,Homo_sapiens,5,RANBP3L,36249653,36301416,51763,-1
NP_001154901.1,Homo_sapiens,5,RANBP3L,36249653,36301416,51763,-1
NP_001310209.1,Homo_sapiens,5,RANBP3L,36251304,36301416,50112,-1
NP_001310205.1,Homo_sapiens,5,RANBP3L,36251304,36301416,50112,-1
NP_001310206.1,Homo_sapiens,5,RANBP3L,36251304,36301416,50112,-1
NP_001310203.1,Homo_sapiens,5,RANBP3L,36251304,36301416,50112,-1
NP_004163.3,Homo_sapiens,5,SLC1A3,36608423,36686269,77846,1
NP_001160167.1,Homo_sapiens,5,SLC1A3,36608423,36686269,77846,1
NP_001276869.1,Homo_sapiens,5,SLC1A3,36608423,36686269,77846,1
NP_001276868.1,Homo_sapiens,5,SLC1A3,36608423,36686269,77846,1
NP_001160168.1,Homo_sapiens,5,SLC1A3,36608423,36608621,198,1
NP_597677.2,Homo_sapiens,5,NIPBL,36953696,37064892,111196,1
NP_056199.2,Homo_sapiens,5,NIPBL,36953696,37064023,110327,1
NP_075561.3,Homo_sapiens,5,C5orf42,37107601,37247698,140097,-1
NP_001265241.1,Homo_sapiens,5,NUP155,37291899,37370977,79078,-1
NP_705618.1,Homo_sapiens,5,NUP155,37291899,37370977,79078,-1
NP_004289.1,Homo_sapiens,5,NUP155,37291899,37364364,72465,-1
NP_060504.1,Homo_sapiens,5,WDR70,37379367,37752573,373206,1
NP_001177398.1,Homo_sapiens,5,GDNF,37815650,37835658,20008,-1
NP_001177397.1,Homo_sapiens,5,GDNF,37815650,37835658,20008,-1
NP_954701.1,Homo_sapiens,5,GDNF,37815650,37834796,19146,-1
NP_000505.1,Homo_sapiens,5,GDNF,37815650,37834796,19146,-1
NP_001265027.1,Homo_sapiens,5,GDNF,37815650,37816130,480,-1
NP_001265023.1,Homo_sapiens,5,GDNF-AS1,37875356,37875674,318,1
NP_001192230.1,Homo_sapiens,5,EGFLAM,38258754,38463986,205232,1
NP_689616.2,Homo_sapiens,5,EGFLAM,38258754,38463986,205232,1
NP_877950.1,Homo_sapiens,5,EGFLAM,38403881,38463986,60105,1
NP_877953.1,Homo_sapiens,5,EGFLAM,38451342,38463986,12644,1
NP_001121143.1,Homo_sapiens,5,LIFR,38481594,38530647,49053,-1
NP_002301.1,Homo_sapiens,5,LIFR,38481594,38530647,49053,-1
NP_001310435.1,Homo_sapiens,5,OSMR,38869044,38933444,64400,1
NP_001310434.1,Homo_sapiens,5,OSMR,38869044,38933444,64400,1
NP_003990.1,Homo_sapiens,5,OSMR,38869044,38933444,64400,1
NP_001310436.1,Homo_sapiens,5,OSMR,38869044,38919367,50323,1
NP_001310433.1,Homo_sapiens,5,OSMR,38869044,38886228,17184,1
NP_001161827.1,Homo_sapiens,5,OSMR,38869044,38886228,17184,1
NP_689969.2,Homo_sapiens,5,RICTOR,38942303,39074377,132074,-1
NP_001272368.1,Homo_sapiens,5,RICTOR,38942303,39074377,132074,-1
NP_001272369.1,Homo_sapiens,5,RICTOR,38942303,38975570,33267,-1
NP_001230022.1,Homo_sapiens,5,FYB,39107442,39270571,163129,-1
NP_955367.1,Homo_sapiens,5,FYB,39107442,39202960,95518,-1
NP_001456.3,Homo_sapiens,5,FYB,39107442,39202960,95518,-1
NP_001728.1,Homo_sapiens,5,C9,39285198,39364464,79266,-1
NP_001231800.1,Homo_sapiens,5,DAB2,39375018,39394320,19302,-1
NP_001334.2,Homo_sapiens,5,DAB2,39375018,39394320,19302,-1
NP_000949.1,Homo_sapiens,5,PTGER4,40680993,40692378,11385,1
NP_036514.1,Homo_sapiens,5,TTC33,40716144,40747018,30874,-1
NP_006242.5,Homo_sapiens,5,PRKAA1,40762777,40798189,35412,-1
NP_996790.3,Homo_sapiens,5,PRKAA1,40762777,40798189,35412,-1
NP_000988.1,Homo_sapiens,5,RPL37,40832503,40835185,2682,-1
NP_115976.2,Homo_sapiens,5,CARD6,40841382,40854446,13064,1
NP_000578.2,Homo_sapiens,5,C7,40909610,40981573,71963,1
NP_775760.3,Homo_sapiens,5,MROH2B,40998051,41070852,72801,-1
NP_000056.2,Homo_sapiens,5,C6,41142824,41203230,60406,-1
NP_001108603.2,Homo_sapiens,5,C6,41142824,41203230,60406,-1
NP_001005473.1,Homo_sapiens,5,PLCXD3,41313616,41510526,196910,-1
NP_000427.1,Homo_sapiens,5,OXCT1,41731728,41870358,138630,-1
NP_787117.3,Homo_sapiens,5,C5orf51,41904367,41917299,12932,1
NP_036308.1,Homo_sapiens,5,FBXO4,41925309,41941281,15972,1
NP_001284366.1,Homo_sapiens,5,FBXO4,41925309,41941211,15902,1
NP_277019.1,Homo_sapiens,5,FBXO4,41925309,41934334,9025,1
NP_001229328.1,Homo_sapiens,5,GHR,42424588,42719424,294836,1
NP_001229329.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_001229330.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_001229331.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_001229332.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_001229333.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_001229334.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_001229335.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_000154.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_001229389.1,Homo_sapiens,5,GHR,42565874,42719424,153550,1
NP_001229391.1,Homo_sapiens,5,GHR,42565874,42718465,152591,1
NP_001128320.1,Homo_sapiens,5,CCDC152,42759121,42799781,40660,1
NP_001087195.1,Homo_sapiens,5,SEPP1,42800719,42810767,10048,-1
NP_001078955.1,Homo_sapiens,5,SEPP1,42800719,42808353,7634,-1
NP_005401.3,Homo_sapiens,5,SEPP1,42800719,42808353,7634,-1
NP_001014301.1,Homo_sapiens,5,ANXA2R,43039464,43040046,582,-1
NP_001284477.1,Homo_sapiens,5,ZNF131,43122053,43175133,53080,1
NP_003423.1,Homo_sapiens,5,ZNF131,43122053,43175133,53080,1
NP_699192.1,Homo_sapiens,5,NIM1K,43245775,43280729,34954,1
NP_001311151.1,Homo_sapiens,5,HMGCS1,43291130,43298965,7835,-1
NP_001311152.1,Homo_sapiens,5,HMGCS1,43291130,43298965,7835,-1
NP_001311153.1,Homo_sapiens,5,HMGCS1,43291130,43298965,7835,-1
NP_001311149.1,Homo_sapiens,5,HMGCS1,43291130,43298965,7835,-1
NP_001311148.1,Homo_sapiens,5,HMGCS1,43291130,43298965,7835,-1
NP_001091742.1,Homo_sapiens,5,HMGCS1,43291130,43298965,7835,-1
NP_002121.4,Homo_sapiens,5,HMGCS1,43291130,43298965,7835,-1
NP_683513.1,Homo_sapiens,5,CCL28,43381859,43412316,30457,-1
NP_001288802.1,Homo_sapiens,5,CCL28,43381859,43412316,30457,-1
NP_001288803.1,Homo_sapiens,5,CCL28,43381859,43412316,30457,-1
NP_001288804.1,Homo_sapiens,5,CCL28,43381859,43388399,6540,-1
NP_071928.2,Homo_sapiens,5,TMEM267,43446221,43453969,7748,-1
NP_940968.1,Homo_sapiens,5,C5orf34,43486914,43509339,22425,-1
NP_877590.1,Homo_sapiens,5,PAIP1,43527375,43556846,29471,-1
NP_006442.2,Homo_sapiens,5,PAIP1,43527375,43556846,29471,-1
NP_899152.1,Homo_sapiens,5,PAIP1,43527375,43555928,28553,-1
NP_892022.2,Homo_sapiens,5,NNT,43609195,43704404,95209,1
NP_036475.3,Homo_sapiens,5,NNT,43609195,43704404,95209,1
NP_004456.1,Homo_sapiens,5,FGF10,44304994,44388682,83688,-1
NP_057724.2,Homo_sapiens,5,MRPS30,44808962,44815202,6240,1
NP_066550.2,Homo_sapiens,5,HCN1,45261920,45696093,434173,-1
NP_940851.1,Homo_sapiens,5,EMB,50399272,50441151,41879,-1
NP_078891.2,Homo_sapiens,5,PARP8,50667095,50842068,174973,1
NP_001171526.1,Homo_sapiens,5,PARP8,50667095,50842068,174973,1
NP_001171527.1,Homo_sapiens,5,PARP8,50667095,50842068,174973,1
NP_002193.2,Homo_sapiens,5,ISL1,51383671,51393610,9939,1
NP_852478.1,Homo_sapiens,5,ITGA1,52788353,52952451,164098,1
NP_057030.3,Homo_sapiens,5,PELO,52800394,52801840,1446,1
NP_002194.2,Homo_sapiens,5,ITGA2,52989468,53090599,101131,1
NP_004522.1,Homo_sapiens,5,MOCS2,53098601,53107174,8573,-1
NP_789776.1,Homo_sapiens,5,MOCS2,53107094,53109729,2635,-1
NP_037541.1,Homo_sapiens,5,FST,53480791,53486033,5242,1
NP_006341.1,Homo_sapiens,5,FST,53480791,53485688,4897,1
NP_002486.1,Homo_sapiens,5,NDUFS4,53560662,53683221,122559,1
NP_001304980.1,Homo_sapiens,5,NDUFS4,53560662,53683130,122468,1
NP_061960.1,Homo_sapiens,5,ARL15,53886560,54310479,423919,-1
NP_006299.1,Homo_sapiens,5,HSPB3,54455789,54456242,453,1
NP_001096045.1,Homo_sapiens,5,SNX18,54517952,54543432,25480,1
NP_001138899.1,Homo_sapiens,5,SNX18,54517952,54543180,25228,1
NP_443102.2,Homo_sapiens,5,SNX18,54517952,54519839,1887,1
NP_001129076.1,Homo_sapiens,5,ESM1,54979331,54985517,6186,-1
NP_008967.1,Homo_sapiens,5,ESM1,54979331,54985517,6186,-1
NP_002095.1,Homo_sapiens,5,GZMK,55024322,55033926,9604,1
NP_006135.1,Homo_sapiens,5,GZMA,55102682,55110182,7500,1
NP_001139206.2,Homo_sapiens,5,CDC20B,55114217,55173000,58783,-1
NP_689836.2,Homo_sapiens,5,CDC20B,55114217,55173000,58783,-1
NP_001163873.1,Homo_sapiens,5,CDC20B,55114217,55173000,58783,-1
NP_001008398.2,Homo_sapiens,5,GPX8,55160192,55164218,4026,1
NP_001293126.1,Homo_sapiens,5,GPX8,55160192,55164218,4026,1
NP_001293130.1,Homo_sapiens,5,GPX8,55160192,55164218,4026,1
NP_001293127.1,Homo_sapiens,5,GPX8,55160192,55164123,3931,1
NP_001177716.1,Homo_sapiens,5,MCIDAS,55220365,55227138,6773,-1
NP_066970.3,Homo_sapiens,5,CCNO,55231374,55233523,2149,-1
NP_061903.2,Homo_sapiens,5,DHX29,55256487,55307573,51086,-1
NP_056175.3,Homo_sapiens,5,SKIV2L2,55308013,55424772,116759,1
NP_003702.2,Homo_sapiens,5,PLPP1,55425205,55534629,109424,-1
NP_795714.1,Homo_sapiens,5,PLPP1,55425205,55534629,109424,-1
NP_775785.2,Homo_sapiens,5,SLC38A9,55626493,55697958,71465,-1
NP_001245216.1,Homo_sapiens,5,SLC38A9,55626493,55691220,64727,-1
NP_001245215.1,Homo_sapiens,5,SLC38A9,55626493,55672619,46126,-1
NP_001269358.1,Homo_sapiens,5,SLC38A9,55626493,55669616,43123,-1
NP_077726.1,Homo_sapiens,5,DDX4,55738963,55816540,77577,1
NP_001136021.1,Homo_sapiens,5,DDX4,55738963,55816540,77577,1
NP_001160005.1,Homo_sapiens,5,DDX4,55738963,55816540,77577,1
NP_001160006.1,Homo_sapiens,5,DDX4,55766929,55816540,49611,1
NP_001229566.1,Homo_sapiens,5,IL31RA,55851570,55922432,70862,1
NP_620586.3,Homo_sapiens,5,IL31RA,55851570,55917120,65550,1
NP_001284499.1,Homo_sapiens,5,IL31RA,55851570,55908659,57089,1
NP_001229567.1,Homo_sapiens,5,IL31RA,55853561,55922432,68871,1
NP_001229565.1,Homo_sapiens,5,IL31RA,55853561,55917120,63559,1
NP_001229568.1,Homo_sapiens,5,IL31RA,55872423,55917120,44697,1
NP_001284501.1,Homo_sapiens,5,IL31RA,55872423,55908659,36236,1
NP_001177910.1,Homo_sapiens,5,IL6ST,55941081,55976278,35197,-1
NP_002175.2,Homo_sapiens,5,IL6ST,55941081,55976278,35197,-1
NP_786943.1,Homo_sapiens,5,IL6ST,55956218,55976278,20060,-1
NP_078945.2,Homo_sapiens,5,ANKRD55,56100182,56232913,132731,-1
NP_001273982.1,Homo_sapiens,5,C5orf67,56511721,56556172,44451,-1
XP_016865616.1,Homo_sapiens,5,LOC105378979,56771005,56771924,919,-1
NP_005912.1,Homo_sapiens,5,MAP3K1,56815573,56893680,78107,1
NP_001165461.1,Homo_sapiens,5,SETD9,56909645,56925336,15691,1
NP_714917.2,Homo_sapiens,5,SETD9,56909645,56916902,7257,1
NP_001309948.1,Homo_sapiens,5,SETD9,56909645,56914036,4391,1
NP_001309947.1,Homo_sapiens,5,SETD9,56910374,56916902,6528,1
NP_001309949.1,Homo_sapiens,5,SETD9,56910374,56914036,3662,1
NP_001309951.1,Homo_sapiens,5,SETD9,56911526,56916902,5376,1
NP_689835.3,Homo_sapiens,5,MIER3,56923127,56952102,28975,-1
NP_001284528.1,Homo_sapiens,5,MIER3,56923127,56952102,28975,-1
NP_001284527.1,Homo_sapiens,5,MIER3,56923127,56952102,28975,-1
NP_001120708.1,Homo_sapiens,5,GPBP1,57214130,57262752,48622,1
NP_001120707.2,Homo_sapiens,5,GPBP1,57214130,57262752,48622,1
NP_075064.1,Homo_sapiens,5,GPBP1,57214130,57262752,48622,1
NP_001190175.1,Homo_sapiens,5,GPBP1,57246334,57262752,16418,1
NP_001017992.1,Homo_sapiens,5,ACTBL2,57481576,57482707,1131,-1
NP_001239155.1,Homo_sapiens,5,PLK2,58454582,58459959,5377,-1
NP_006613.2,Homo_sapiens,5,PLK2,58454582,58459959,5377,-1
NP_689900.1,Homo_sapiens,5,GAPT,58494536,58495010,474,1
NP_001291360.1,Homo_sapiens,5,GAPT,58494536,58495010,474,1
NP_001291358.1,Homo_sapiens,5,GAPT,58494536,58495010,474,1
NP_001291357.1,Homo_sapiens,5,GAPT,58494536,58495010,474,1
NP_001304844.1,Homo_sapiens,5,RAB3C,58582396,58851351,268955,1
NP_612462.1,Homo_sapiens,5,RAB3C,58583208,58851351,268143,1
NP_001159371.1,Homo_sapiens,5,PDE4D,58974663,60185598,1210935,-1
NP_001098101.1,Homo_sapiens,5,PDE4D,58974663,59893622,918959,-1
NP_001184147.1,Homo_sapiens,5,PDE4D,58974663,59768509,793846,-1
NP_006194.2,Homo_sapiens,5,PDE4D,58974663,59586375,611712,-1
NP_001184148.1,Homo_sapiens,5,PDE4D,58974663,59356846,382183,-1
NP_001184149.1,Homo_sapiens,5,PDE4D,58974663,59275402,300739,-1
NP_001184151.1,Homo_sapiens,5,PDE4D,58974663,59039107,64444,-1
NP_001184150.1,Homo_sapiens,5,PDE4D,58974663,59038873,64210,-1
NP_001184152.1,Homo_sapiens,5,PDE4D,58974663,58999536,24873,-1
NP_001138680.1,Homo_sapiens,5,DEPDC1B,60597752,60700093,102341,-1
NP_060839.2,Homo_sapiens,5,DEPDC1B,60597752,60700093,102341,-1
NP_079206.2,Homo_sapiens,5,ELOVL7,60754623,60787397,32774,-1
NP_001098028.1,Homo_sapiens,5,ELOVL7,60754623,60787397,32774,-1
NP_001284546.1,Homo_sapiens,5,ELOVL7,60754623,60784118,29495,-1
NP_001284547.1,Homo_sapiens,5,ELOVL7,60754623,60767897,13274,-1
NP_000073.1,Homo_sapiens,5,ERCC8,60874614,60945008,70394,-1
NP_001007234.1,Homo_sapiens,5,ERCC8,60874614,60922154,47540,-1
NP_001277214.1,Homo_sapiens,5,ERCC8,60874614,60918286,43672,-1
NP_001007235.1,Homo_sapiens,5,ERCC8,60903579,60945008,41429,-1
NP_777549.1,Homo_sapiens,5,NDUFAF2,60945255,61152955,207700,1
NP_001041714.1,Homo_sapiens,5,SMIM15,61159946,61160171,225,-1
NP_065979.1,Homo_sapiens,5,ZSWIM6,61332272,61544317,212045,1
NP_775938.1,Homo_sapiens,5,C5orf64,61643363,61704033,60670,1
NP_001091981.1,Homo_sapiens,5,KIF2A,62306472,62385569,79097,1
NP_004511.2,Homo_sapiens,5,KIF2A,62306472,62385569,79097,1
NP_001230882.1,Homo_sapiens,5,KIF2A,62306472,62385569,79097,1
NP_001230881.1,Homo_sapiens,5,KIF2A,62308507,62385569,77062,1
NP_055288.1,Homo_sapiens,5,DIMT1,62389009,62403772,14763,-1
NP_001128251.1,Homo_sapiens,5,IPO11,62419013,62627318,208305,1
NP_057422.3,Homo_sapiens,5,IPO11,62437279,62627318,190039,1
NP_852607.3,Homo_sapiens,5,LRRC70,62579438,62581307,1869,1
NP_000515.2,Homo_sapiens,5,HTR1A,63960450,63961719,1269,-1
NP_001107033.1,Homo_sapiens,5,RNF180,64200807,64369814,169007,1
NP_001310221.1,Homo_sapiens,5,RNF180,64200807,64330420,129613,1
NP_848627.1,Homo_sapiens,5,RNF180,64200807,64217420,16613,1
NP_001310220.1,Homo_sapiens,5,RNF180,64200807,64217420,16613,1
NP_001025046.1,Homo_sapiens,5,RGS7BP,64506624,64609252,102628,1
NP_001258819.1,Homo_sapiens,5,RGS7BP,64575840,64609252,33412,1
NP_001258820.1,Homo_sapiens,5,RGS7BP,64575840,64609164,33324,1
NP_001157914.1,Homo_sapiens,5,FAM159B,64690623,64718022,27399,1
NP_776190.1,Homo_sapiens,5,SREK1IP1,64724383,64768517,44134,-1
NP_005860.2,Homo_sapiens,5,CWC27,64769146,65018321,249175,1
NP_001284573.1,Homo_sapiens,5,CWC27,64769146,65018182,249036,1
NP_001304929.1,Homo_sapiens,5,CWC27,64769146,64844986,75840,1
NP_001284574.1,Homo_sapiens,5,CWC27,64769146,64807806,38660,1
NP_922932.2,Homo_sapiens,5,ADAMTS6,65151835,65473673,321838,-1
NP_071428.2,Homo_sapiens,5,CENPK,65518474,65554907,36433,-1
NP_001253967.1,Homo_sapiens,5,CENPK,65518474,65554907,36433,-1
NP_056157.1,Homo_sapiens,5,PPWD1,65563310,65587396,24086,1
NP_001265855.1,Homo_sapiens,5,PPWD1,65563437,65587396,23959,1
NP_001265856.1,Homo_sapiens,5,PPWD1,65567563,65587396,19833,1
NP_001265858.1,Homo_sapiens,5,PPWD1,65569945,65587396,17451,1
NP_150230.1,Homo_sapiens,5,TRIM23,65590298,65624274,33976,-1
NP_150231.1,Homo_sapiens,5,TRIM23,65591483,65624274,32791,-1
NP_001647.1,Homo_sapiens,5,TRIM23,65591768,65624274,32506,-1
NP_001087224.1,Homo_sapiens,5,TRAPPC13,65625060,65664611,39551,1
NP_079217.2,Homo_sapiens,5,TRAPPC13,65625060,65664611,39551,1
NP_001230666.1,Homo_sapiens,5,TRAPPC13,65625060,65664611,39551,1
NP_001087225.1,Homo_sapiens,5,TRAPPC13,65625060,65664611,39551,1
NP_061945.1,Homo_sapiens,5,SGTB,65670245,65720807,50562,-1
NP_065777.1,Homo_sapiens,5,NLN,65722373,65822915,100542,1
NP_001240628.1,Homo_sapiens,5,ERBIN,65992718,66078530,85812,1
NP_001240626.1,Homo_sapiens,5,ERBIN,65992718,66078530,85812,1
NP_061165.1,Homo_sapiens,5,ERBIN,65992718,66078530,85812,1
NP_001240627.1,Homo_sapiens,5,ERBIN,65992718,66078530,85812,1
NP_001006600.1,Homo_sapiens,5,ERBIN,65992718,66078530,85812,1
NP_001240630.1,Homo_sapiens,5,ERBIN,65992718,66078530,85812,1
NP_001070667.1,Homo_sapiens,5,SREK1,66144376,66178868,34492,1
NP_001310458.1,Homo_sapiens,5,SREK1,66144376,66178868,34492,1
NP_001310462.1,Homo_sapiens,5,SREK1,66144376,66178755,34379,1
NP_001310456.1,Homo_sapiens,5,SREK1,66159271,66178868,19597,1
NP_631907.1,Homo_sapiens,5,SREK1,66159271,66178868,19597,1
NP_001257421.1,Homo_sapiens,5,SREK1,66159271,66178868,19597,1
NP_001310463.1,Homo_sapiens,5,SREK1,66163831,66178868,15037,1
NP_001310464.1,Homo_sapiens,5,SREK1,66163831,66178868,15037,1
NP_001158136.1,Homo_sapiens,5,MAST4,66596655,67167051,570396,1
NP_942123.1,Homo_sapiens,5,MAST4,66596655,66986486,389831,1
NP_001277157.1,Homo_sapiens,5,MAST4,66596655,66986486,389831,1
NP_055998.1,Homo_sapiens,5,MAST4,66828843,67167051,338208,1
NP_001277155.1,Homo_sapiens,5,MAST4,66959247,67167051,207804,1
NP_001284580.1,Homo_sapiens,5,MAST4,67004993,67167051,162058,1
NP_001277156.1,Homo_sapiens,5,MAST4,67004993,67167051,162058,1
NP_005573.2,Homo_sapiens,5,CD180,67182856,67196641,13785,-1
NP_852664.1,Homo_sapiens,5,PIK3R1,68226675,68297601,70926,1
NP_852665.1,Homo_sapiens,5,PIK3R1,68288735,68297601,8866,1
NP_852556.2,Homo_sapiens,5,PIK3R1,68290728,68297601,6873,1
NP_001229395.1,Homo_sapiens,5,PIK3R1,68293170,68297601,4431,1
NP_075053.2,Homo_sapiens,5,SLC30A5,69094255,69129617,35362,1
NP_076960.1,Homo_sapiens,5,SLC30A5,69094255,69104045,9790,1
NP_001238898.1,Homo_sapiens,5,SLC30A5,69094255,69104045,9790,1
NP_114172.1,Homo_sapiens,5,CCNB1,69167262,69177631,10369,1
NP_075060.1,Homo_sapiens,5,CENPH,69189634,69209799,20165,1
NP_150597.1,Homo_sapiens,5,MRPS36,69217829,69229225,11396,1
NP_001790.1,Homo_sapiens,5,CDK7,69234975,69277135,42160,1
NP_001310999.1,Homo_sapiens,5,CDK7,69234975,69277135,42160,1
NP_001311000.1,Homo_sapiens,5,CDK7,69235009,69277135,42126,1
NP_001310998.1,Homo_sapiens,5,CDK7,69250828,69277135,26307,1
NP_001311003.1,Homo_sapiens,5,CDK7,69255510,69277135,21625,1
NP_001311001.1,Homo_sapiens,5,CDK7,69255510,69277135,21625,1
NP_001311006.1,Homo_sapiens,5,CDK7,69255510,69277135,21625,1
NP_001311004.1,Homo_sapiens,5,CDK7,69255510,69277135,21625,1
NP_001311007.1,Homo_sapiens,5,CDK7,69255510,69277135,21625,1
NP_789786.2,Homo_sapiens,5,CCDC125,69282728,69320540,37812,-1
NP_001284626.1,Homo_sapiens,5,CCDC125,69282728,69311195,28467,-1
NP_001284625.1,Homo_sapiens,5,CCDC125,69285341,69320540,35199,-1
NP_001015891.1,Homo_sapiens,5,AK6,69352060,69369675,17615,-1
NP_057367.1,Homo_sapiens,5,AK6,69352060,69369490,17430,-1
NP_003178.1,Homo_sapiens,5,TAF9,69364942,69365737,795,-1
NP_001015892.1,Homo_sapiens,5,TAF9,69364942,69365737,795,-1
NP_579917.1,Homo_sapiens,5,RAD17,69371515,69414292,42777,1
NP_579916.1,Homo_sapiens,5,RAD17,69372208,69414292,42084,1
